stage,stage_id,case_id,pitch_cp_0,pitch_cp_1,pitch_cp_2,pitch_cp_3,pitch_cp_4,pitch_cp_5,chord_cp_0,chord_cp_1,chord_cp_2,chord_cp_3,chord_cp_4,failed
initial,0,0,0.89111,0.41878008999980354,0.502692,0.19058468493381273,0.3691135343375484,0.542381,0.286533,0.555462,0.49154780497169637,0.433653,0.16461,0
initial,0,1,1.13771,0.43614320027450526,0.35946,0.48543228122031035,0.21656034024455076,0.532668,0.216045,0.631527,0.34990585599542384,0.586503,0.260275,0
initial,0,2,1.098487,0.060229575507523586,0.671046,0.3045907960546537,0.45513395171274,0.557018,0.222684,0.462456,0.2999767486391115,0.469588,0.210592,0
initial,0,3,1.080079,0.8430174949440643,0.647929,0.2362338338958297,0.2967376969330991,0.525543,0.284718,0.479459,0.17345755011164643,0.442476,0.265922,1
initial,0,4,1.010818,0.1326011994388231,0.510707,0.2233414634862213,0.24603875132348815,0.613292,0.234543,0.729008,0.2437872087698209,0.44787,0.298063,0
initial,0,5,0.908074,0.36731337640214173,0.693331,0.21101750135191702,0.2023986730744695,0.43126,0.217497,0.683201,0.21729108088253923,0.542415,0.273555,0
initial,0,6,1.173307,0.7554534105596555,0.473474,0.3328588281038902,0.4768194152144709,0.516154,0.247517,0.472192,0.38560253084131946,0.404585,0.147791,0
initial,0,7,1.076569,0.7928398947534403,0.618337,0.24942398240609182,0.39194510630137414,0.676331,0.228652,0.683651,0.25349897109126635,0.435012,0.120241,0
initial,0,8,0.805567,0.48669740744541434,0.730919,0.28895794223408366,0.31484887030412473,0.618157,0.253994,0.790277,0.39309373070418546,0.45248,0.109634,0
initial,0,9,0.881142,0.5044906313480759,0.631627,0.29303745231539763,0.4931772340373406,0.566726,0.294549,0.831823,0.2708926706989633,0.579255,0.177278,0
initial,0,10,0.824297,0.2436829406829565,0.428185,0.16180645661056986,0.2886521902893232,0.590855,0.27064,0.507087,0.35518130334305387,0.535589,0.257956,0
initial,0,11,1.192899,0.20810136117160266,0.737291,0.3170189549984048,0.3308292798489927,0.459915,0.297539,0.644168,0.293480369826728,0.499203,0.146536,0
initial,0,12,1.08981,0.9961152841806638,0.537843,0.1980437306133322,0.20553087126510067,0.655898,0.237754,0.540875,0.41067205931917766,0.522184,0.173395,0
initial,0,13,1.178666,0.8927186966304322,0.43191,0.4001565423236992,0.3234865717963639,0.45381,0.262497,0.603106,0.47151274745674276,0.459649,0.217001,0
initial,0,14,1.030228,0.16618889477840415,0.650196,0.2809165424118485,0.1800323390786802,0.623798,0.205298,0.483627,0.45582810153462544,0.574057,0.137492,0
initial,0,15,0.885702,0.8772112666197422,0.637565,0.42573545924096123,0.26944263837204474,0.691094,0.212814,0.652928,0.36621194049630584,0.477024,0.253775,0
initial,0,16,0.942899,0.30250644824666756,0.607388,0.49219914583847757,0.42522190331246223,0.509215,0.219741,0.77436,0.3224485406049375,0.425644,0.1697,0
initial,0,17,1.124125,0.18124875396465756,0.399457,0.24291261543557185,0.43381041893575617,0.412866,0.232591,0.779248,0.3771042334156206,0.533911,0.18088,0
initial,0,18,1.00345,0.40156852855882014,0.727001,0.47316791172726796,0.3401299269482609,0.550668,0.238368,0.733266,0.3989074433748886,0.682775,0.270158,1
initial,0,19,1.151292,0.6624033002557215,0.382925,0.2765292943524715,0.34992979750842035,0.633057,0.280816,0.815167,0.4313162328513392,0.484684,0.284826,0
initial,0,20,0.869079,0.3184447403662693,0.595726,0.40906592503159306,0.4470583275886865,0.404951,0.266406,0.536131,0.4185469135364119,0.551927,0.245309,1
initial,0,21,0.990321,0.838722512015505,0.524581,0.20481638892100812,0.3786863510947075,0.415389,0.282883,0.697593,0.34752735536673157,0.596945,0.110697,0
initial,0,22,0.846539,0.08301217249273209,0.545656,0.34909598142981885,0.15797716524317068,0.522267,0.287774,0.625881,0.33651325674902016,0.631816,0.126095,0
initial,0,23,0.860651,0.8613736189369037,0.366212,0.2995586406539864,0.2807559561812171,0.625529,0.25247,0.546055,0.3123984523540439,0.666144,0.134749,1
initial,0,24,1.183745,0.46805391782848954,0.441116,0.19589769692677678,0.41432269073857636,0.576002,0.209002,0.661494,0.19867790858077614,0.692753,0.155706,0
initial,0,25,1.065178,0.3621685552323324,0.444054,0.25874827588723387,0.3019140601067492,0.696936,0.299461,0.618838,0.4254831364545783,0.678795,0.222582,1
initial,0,26,0.938236,0.3261189698633937,0.50982,0.3571626155023249,0.4837851097755426,0.635307,0.214892,0.693558,0.46669900946982,0.688647,0.20264,0
initial,0,27,1.021103,0.9229394795947188,0.412945,0.4335631521537796,0.4624139372584485,0.607089,0.245456,0.738755,0.4862620987947359,0.610542,0.142254,0
initial,0,28,1.247864,0.7247397065783248,0.611103,0.17112783182159252,0.22901955931600404,0.537202,0.26866,0.720941,0.4438841908661727,0.506532,0.129641,0
